All Players   Projections Standard Categories
Avail,Player,GP,G,A,PTS,+/-,PIM,PPG,SHG,SOG,FPTS,
The Dook of Sook,Nikita Kucherov W | TB,78.7,41.84,95.33,137.17,-0.99,29.65,27.57,0,281.19,315.93
3sheets Sports Entertainment,Nathan MacKinnon C | COL,78.7,43.08,81.67,124.75,-2.06,38.18,23.64,0,406.81,292.07
W ,Connor McDavid C | EDM ,78.7,30.9,92.97,123.87,-5.34,30.28,23.33,0.17,313.24,277.65
Shazam!!!,Leon Draisaitl C | EDM ,78.7,46.64,62.15,108.79,-5.34,47.64,22.5,0.37,283.1,263.63
Shazam!!!,Kirill Kaprizov W | MIN,78.7,49.59,53.74,103.33,4.21,28.5,20.79,0,284.46,257.30
W ,Auston Matthews C | TOR,78.7,53.01,45.62,98.63,2.49,19.77,18.62,0.73,327.5,252.35
W ,David Pastrnak W | BOS,78.7,42.77,58.15,100.92,0.70,49.95,17.31,0,307.06,244.79
W ,Artemi Panarin W | NYR,78.7,42.29,57.43,99.72,-8.63,18.81,20.87,0.21,258.93,239.99
Shazam!!!,Sidney Crosby C | PIT,78.7,40.18,57,97.18,7.45,36.74,16.04,0,237.6,236.40
3sheets Sports Entertainment,Mikko Rantanen W | DAL,78.7,38.89,59.32,98.21,2.57,52.71,18.1,0,238.59,235.95
CinStars,Sam Reinhart W | FLA ,78.7,50,40.25,90.25,-4.77,26.35,15.97,2.47,271.78,234.25
Shazam!!!,Kyle Connor W | WPG,78.7,44.94,49.52,94.46,-4.32,17.21,15.05,0.51,278.11,233.80
The Pylons,Mitchell Marner W | LV ,78.7,28.57,72.87,101.44,3.35,13.14,19.67,0.72,178.86,233.73
The Pylons,Jack Eichel C | LV,78.7,35.61,61.99,97.6,-4.57,18.05,19.87,1.62,317.65,232.91
W ,Jake Guentzel W | TB,78.7,43.8,50.18,93.98,-0.99,34.96,18.38,0.25,252.8,232.01
The Dook of Sook,Brayden Point C | TB,78.7,47.29,42.28,89.57,-0.99,11.43,17.3,0,211.86,226.18
re-degeneration X 2.0,William Nylander W | TOR,78.7,43.29,47.9,91.19,-5.62,24.47,19.77,0.89,270.09,226.04
South Calgary Oilers,Sebastian Aho C | CAR,78.7,37.13,53.42,90.55,0.04,40.14,17.6,2.1,280.82,222.44
HawtSawwce,Jack Hughes C | NJ ,78.7,35.22,58.29,93.51,-10.86,18.14,19.43,0.64,339.29,220.80
CinStars,Robert Thomas C | STL,78.7,27.48,65.92,93.4,1.68,39.69,17.02,1.05,150.87,216.80
W ,J.T. Miller C | NYR,78.7,31.72,58.45,90.17,-2.25,52.76,21.98,1.44,182.29,214.38
W ,Alex Ovechkin W | WAS,78.7,47.16,36.39,83.55,-0.70,21.36,19.76,0,260.98,214.08
The Pylons,Cale Makar D | COL,78.7,26.67,64.58,91.25,-2.74,14.4,21.21,1.33,278.13,211.14
G' Stars,Nick Suzuki C | MON,78.7,34,52.77,86.77,8.51,20.85,18.18,0.49,151.25,210.65
W ,Mark Scheifele C | WPG,78.7,35.93,50.49,86.42,-4.32,65.12,13.93,0,176.88,207.69
HawtSawwce,Aleksander Barkov C | FLA ,78.7,26.04,62.03,88.07,-4.77,19.36,16.9,1.79,229.35,204.57
New Oilers Nation,Clayton Keller C | UTA,78.7,33.76,51.82,85.58,-1.97,27.05,18.67,0,224.57,204.43
W ,Adrian Kempe W | LA,78.7,37.1,46.02,83.12,-6.14,52.3,16.56,1.25,268.24,204.31
South Calgary Oilers,Brandon Hagel W | TB ,78.7,32.46,50.81,83.27,-0.99,60.1,4.74,2.39,198.72,203.53
The Pylons,Dylan Strome C | WAS,78.7,31.32,52.71,84.03,-1.65,26.49,20.12,0,146.53,198.97
LIP's Lasers,Jesper Bratt W | NJ ,78.7,24.17,61.77,85.94,-2.09,14.17,16.2,1.22,218.83,197.97
The Inglorious Basteeerds,Travis Konecny W | PHI,78.7,31.62,47.35,78.97,6.16,54.08,12.34,2.66,223.61,196.42
3sheets Sports Entertainment,Seth Jarvis W | CAR,78.7,37.57,39.17,76.74,0.04,15.62,14.32,2.35,256.19,195.76
CinStars,Filip Forsberg W | NSH,78.7,37.03,42.34,79.37,-0.84,41.43,14.16,0,313.38,195.56
South Calgary Oilers,Matthew Tkachuk W | FLA ,73.9,27.78,55.69,83.47,-4.76,74.86,17.22,0.21,276.84,193.95
W ,Brock Nelson C | COL ,78.7,35.13,39.14,74.27,11.34,28.3,10.99,1.38,222.52,189.27
G' Stars,Matt Boldy W | MIN,78.7,32.3,45.45,77.75,4.11,42.05,13.06,0,245.46,188.83
HawtSawwce,Nico Hischier C | NJ ,78.7,35.92,39.76,75.68,-0.79,16.84,13.68,0.8,212.42,188.68
W ,Tage Thompson C | BUF,78.7,41.55,31.56,73.11,-2.11,39.59,14.15,0.54,256.33,188.32
W ,Bryan Rust W | PIT,78.7,37.06,37.5,74.56,1.25,24.97,10.35,0.29,221.12,187.07
W ,Mark Stone W | LV ,78.7,26.49,52.63,79.12,-4.57,22.73,15.6,1.49,178.77,186.57
HawtSawwce,Zach Werenski D | CLB,78.7,20.09,60.79,80.88,11.88,29.23,19.38,0.86,246.82,186.54
The Dook of Sook,Jason Robertson W | DAL,78.7,32.08,44.55,76.63,-3.62,20.47,13.68,0,214.6,184.43
W ,Valeri Nichushkin W | COL,78.7,43.16,27.18,70.34,-2.74,20.65,12.88,0.33,254,183.81
LIP's Lasers,Cole Caufield W | MON,78.7,35.58,36.38,71.96,8.51,13.59,12.23,0,235.04,181.63
New Oilers Nation,Macklin Celebrini C | SJ,78.7,30.84,44.19,75.03,1.65,33.26,16.49,0,234.71,181.31
HawtSawwce,Brad Marchand C | FLA ,78.7,32.55,40.57,73.12,-1.95,84.45,13.91,1.46,218.31,181.22
W ,Jordan Kyrou W | STL,78.7,37.12,34.72,71.84,0.53,21.29,13.34,0,221.15,180.93
re-degeneration X 2.0,Tomas Hertl C | LV,78.7,36.6,34.04,70.64,8.67,22.88,14.38,0.32,197.86,180.69
W ,Sean Monahan C | CLB,78.7,28.34,44.77,73.11,11.88,16.99,13.32,1.54,167.36,180.61
CinStars,Brady Tkachuk W | OTT ,78.7,37.36,33.72,71.08,3.83,121.23,12.83,0,350.47,180.48
W ,Dylan Larkin C | DET,78.7,33.37,39.3,72.67,-4.99,39.19,13.34,0.51,230.73,178.48
HawtSawwce,Tim Stutzle C | OTT,78.7,22.77,55.13,77.9,-0.57,34.43,14.25,0,185.96,178.43
W ,Mathew Barzal C | NYI ,78.7,22.92,53.32,76.24,5.75,26.15,16.15,0,227.16,176.84
The Pylons,John Tavares C | TOR ,78.7,35.37,35.52,70.89,-5.62,37.99,13.21,0,238.32,175.74
CinStars,Carter Verhaeghe W | FLA ,78.7,31.86,40.64,72.5,-4.77,36.96,11.06,0,289.51,175.67
CinStars,Quinn Hughes D | VAN,78.7,15.73,64.39,80.12,-3.26,35.05,19.98,0,194.55,175.16
W ,Anze Kopitar C | LA,78.7,25.68,48.75,74.43,-6.14,13.31,16.05,0.97,123.2,174.94
South Calgary Oilers,Connor Bedard C | CHI,78.7,26.72,47.35,74.07,0.18,51.93,16.35,0,165.99,174.91
G' Stars,Lucas Raymond W | DET,78.7,28.48,44.74,73.22,-4.48,21.76,12.23,0.21,161.44,174.22
W ,Alex Tuch W | BUF,78.7,31.2,36.62,67.82,6.33,48.95,9.13,2.63,192.9,173.68
The Inglorious Basteeerds,Kevin Fiala W | LA,78.7,34.47,35.84,70.31,-6.14,46.85,18.62,0,252.14,173.56
W ,Nazem Kadri C | CGY,78.7,32.02,38.03,70.05,-2.17,55.38,12.85,0,281.92,171.58
W ,Patrick Kane W | DET ,78.7,28.06,42.75,70.81,6.76,18.29,14.15,0,198.32,171.37
W ,Pavel Buchnevich W | STL,78.7,28.1,41.3,69.4,5.46,45.97,11.38,1.34,166.95,170.95
G' Stars,Martin Necas W | COL,78.7,27.77,44.11,71.88,-2.74,25.79,13.62,0,263.66,170.84
W ,Nikolaj Ehlers W | CAR ,78.7,29.54,41.09,70.63,0.04,25.31,10.12,0,254.78,170.81
